19.5,1.53,0.13,0.17,0.19,0.81
19.5,1.61,0.07,0.27,0.33,0.67
19.5,2.13,0.16,0.15,0.75,0.25
19.5,2.20,0.21,0.45,0.26,0.74
19.5,2.32,0.34,0.47,0.43,0.57
19.5,2.35,0.21,0.09,0.26,0.74
19.5,2.45,0.45,0.77,0.37,0.63
19.5,2.47,0.35,0.47,0.44,0.56
19.5,2.49,0.22,0.33,0.18,0.82
19.5,2.50,0.27,0.59,0.30,0.70
19.5,2.58,0.19,0.31,0.55,0.45
19.5,2.58,0.26,0.37,0.42,0.58
19.5,2.63,0.24,0.69,0.21,0.79
19.5,2.67,0.27,0.51,0.28,0.72
19.5,3.04,0.32,0.39,0.22,0.78
19.5,3.11,0.16,1.05,0.29,0.71
19.5,3.40,0.55,0.45,0.41,0.59
19.5,3.54,0.47,0.07,0.61,0.39
19.5,3.66,0.55,0.46,0.41,0.59
20.0,0.00,0.00,0.00,0.00,0.00
20.0,0.00,0.00,1.67,0.35,0.65
20.0,0.00,0.00,2.00,1.00,0.00
20.0,0.15,0.05,0.00,0.01,0.99
20.0,0.24,0.12,0.59,0.02,0.98
20.0,0.31,0.01,0.42,0.15,0.85
20.0,0.37,0.13,0.43,0.02,0.98
20.0,0.41,0.09,0.70,0.37,0.63
20.0,0.42,0.12,0.32,0.07,0.93
20.0,0.46,0.12,0.33,0.07,0.93
20.0,0.50,0.07,0.11,0.32,0.68
20.0,0.54,0.00,1.65,0.30,0.70
20.0,0.54,0.05,0.00,0.89,0.11
20.0,0.54,0.12,0.00,0.02,0.98
20.0,0.61,0.00,0.00,0.00,1.00
20.0,0.64,0.14,1.38,0.07,0.93
20.0,0.69,0.09,0.35,0.09,0.91
20.0,0.73,0.04,0.06,0.04,0.96
20.0,0.74,0.10,0.10,0.49,0.51
20.0,0.77,0.05,0.07,0.04,0.96
20.0,0.77,0.11,0.11,0.49,0.51
20.0,0.82,0.24,0.26,0.08,0.92
20.0,0.85,0.01,0.64,0.20,0.80
20.0,0.91,0.16,0.05,0.94,0.06
20.0,0.94,0.18,0.00,0.00,1.00
20.0,0.94,0.26,0.11,0.06,0.94
20.0,0.99,0.11,0.83,0.31,0.69
20.0,1.06,0.20,0.00,0.75,0.25
20.0,1.07,0.18,0.26,0.70,0.30
20.0,1.09,0.10,1.29,0.06,0.95
20.0,1.10,0.14,0.13,0.55,0.45
20.0,1.10,0.15,0.05,0.94,0.06
