"ave_orton_cone_id","SiO2","Al2O3","B2O3","Li2O","MgO","CaO","SrO","BaO","ZnO","P2O5","MnO2","Fe2O3","TiO2"
18,63,7,9,0,4,11,0,0,0,0,0,0,0
18,63,7,9,0,4,11,0,0,0,0,0,4,0
18,66,7,9,0,4,12,0,0,0,0,0,0,0
18,67,7,10,0,2,9,0,0,0,0,0,3,0
18,68,7,10,0,2,11,0,0,0,0,0,0,0
18,70,7,10,0,2,9,0,0,0,0,0,0,0
18,72,5,12,0,0,7,0,0,0,0,0,0,0
18,74,6,0,0,0,0,0,0,0,0,0,0,0
19,0,0,37,0,0,15,0,0,0,0,0,2,34
19,10,0,38,0,4,27,0,0,0,4,0,0,0
19,12,0,46,0,4,17,0,0,0,0,0,0,0
19,16,1,25,0,6,38,0,0,0,5,0,0,0
19,20,0,23,0,36,10,0,0,0,0,0,0,0
19,21,3,16,0,4,36,0,0,0,6,0,0,0
19,22,6,17,0,36,14,0,0,0,0,0,0,0
19,23,4,5,29,1,5,0,0,0,0,0,0,0
19,29,0,43,2,7,0,0,0,0,0,0,0,0
19,30,4,13,0,3,12,0,0,0,0,0,1,19
19,30,8,33,0,0,22,0,0,0,0,0,2,0
19,31,2,10,22,18,12,0,0,0,0,0,0,0
19,32,3,39,0,0,26,0,0,0,0,0,0,0
19,32,5,24,6,3,9,0,0,0,2,0,0,0
19,33,4,25,0,6,23,0,0,0,0,0,0,0
19,34,1,24,0,3,27,0,0,0,0,0,0,0
19,34,5,30,0,0,20,0,0,0,0,0,0,0
19,35,6,30,0,0,21,0,0,0,0,0,0,0
19,35,8,11,0,2,10,0,0,0,0,0,0,0
19,36,2,30,0,0,24,0,0,0,0,0,0,0
19,42,2,8,28,7,7,0,0,0,0,2,0,0
19,45,1,29,0,0,19,0,0,0,0,0,0,3
19,45,8,0,28,0,3,6,0,0,0,0,0,2
19,46,4,6,30,9,0,0,0,0,0,0,0,0
19,47,2,18,0,0,20,0,0,0,0,0,0,0
19,47,9,16,0,4,15,0,0,0,0,0,1,5
19,48,4,0,13,0,0,0,20,14,0,0,0,0
19,49,2,19,0,0,20,0,0,0,0,0,0,0
19,49,5,0,11,0,0,0,21,14,0,0,0,0
19,5,0,25,9,41,7,0,0,0,0,0,0,0
19,50,3,16,0,4,19,0,0,5,0,0,0,0
19,50,9,16,0,0,13,3,0,0,0,0,0,0
19,50,9,17,0,4,16,0,0,0,0,0,0,0
19,51,11,10,0,0,0,0,14,0,0,0,0,0
19,51,12,0,0,25,1,0,0,0,0,0,0,0
19,51,5,0,11,0,0,0,17,15,0,0,0,0
19,51,5,0,7,0,0,0,22,15,0,0,0,0
19,52,10,16,0,0,13,0,0,0,0,0,0,3
19,52,17,0,6,11,1,0,1,0,0,0,0,0
19,52,2,17,0,0,18,0,0,0,0,0,0,0
19,52,6,9,6,0,23,0,0,0,0,0,0,0
19,52,7,16,0,1,16,0,0,0,0,0,0,0
19,53,10,6,0,12,7,0,0,0,0,0,0,0
19,53,9,19,0,0,12,0,0,0,0,0,0,0
19,54,7,11,0,2,12,0,0,0,0,1,0,0
19,54,7,12,0,2,12,0,0,0,0,0,0,0
19,55,5,0,0,0,0,0,0,3,0,0,0,0
19,55,6,12,0,3,11,0,6,0,0,0,0,0
19,56,8,10,0,0,16,0,0,0,0,0,0,0
19,56,9,17,0,2,11,0,0,0,0,0,0,0
19,57,3,0,16,0,0,0,0,0,0,0,0,0
19,57,6,14,0,0,16,0,0,0,0,0,0,0
19,57,9,3,0,5,18,0,0,0,0,0,0,0
19,58,4,15,0,0,16,0,0,0,0,0,0,0
19,58,6,0,0,0,0,0,5,0,0,0,0,0
19,58,6,11,0,1,5,0,0,9,0,2,0,0
19,58,7,0,12,0,18,0,0,0,0,0,0,0
19,58,8,11,4,2,11,0,0,0,0,0,0,0
19,59,6,10,0,0,0,0,13,0,0,0,0,0
19,59,8,10,0,0,13,0,0,0,0,0,0,0
19,59,9,13,0,2,10,0,0,0,0,0,0,0
19,60,10,8,0,0,11,0,0,0,0,0,0,0
19,60,7,3,0,1,13,0,5,4,0,0,0,0
19,60,8,10,0,0,13,0,0,0,0,0,0,0
19,60,9,11,0,0,14,0,0,0,0,0,0,0
19,63,4,4,0,1,7,0,0,0,0,0,0,0
19,63,8,5,0,0,5,0,3,2,0,0,0,2
19,64,4,0,12,0,0,0,0,0,0,0,0,0
19,64,4,4,0,0,6,0,0,0,0,0,2,0
19,65,10,0,0,23,0,0,0,0,0,0,0,0
19,65,4,4,0,0,6,0,0,0,0,0,0,0
19,65,7,11,0,0,12,0,0,0,0,0,0,0
19,68,3,0,24,0,0,0,0,0,0,0,0,0
19,68,6,2,0,0,5,0,0,0,0,0,0,2
19,69,8,0,10,0,0,0,0,0,0,0,0,0
19,70,7,0,10,0,0,0,0,0,0,0,0,0
19,70,9,1,0,0,4,0,4,0,0,0,0,0
19,74,9,3,0,2,3,0,0,0,0,0,3,1
20,0,0,37,0,0,15,0,0,0,0,0,2,34
20,11,0,34,0,0,14,0,0,0,0,0,8,7
20,14,1,22,0,5,20,0,0,0,0,0,34,0
20,18,4,32,17,0,21,0,8,0,0,0,0,0
20,19,0,23,0,37,10,0,0,0,0,0,0,0
20,20,4,44,0,0,29,0,0,0,0,0,0,0
20,21,10,3,0,0,3,0,0,0,0,0,0,0
20,23,6,17,0,34,13,0,0,0,0,0,0,0
20,28,4,6,14,34,5,0,0,0,0,0,0,4
20,28,6,0,0,1,0,0,0,0,0,0,1,0
20,29,33,10,0,0,18,4,0,0,0,0,0,0
20,31,3,37,0,0,25,0,2,0,0,0,0,0
20,32,0,24,0,3,23,0,4,0,0,0,0,0
20,32,4,16,0,32,11,0,0,0,0,0,0,0
20,33,1,39,0,0,26,0,0,0,0,0,0,0
20,33,4,28,0,2,21,0,0,0,1,0,0,0
20,33,6,30,0,1,22,0,0,0,1,0,0,0
20,34,3,0,55,0,0,0,0,0,0,0,0,0
20,34,4,33,0,0,13,0,0,3,0,0,0,0
20,34,5,5,10,8,14,0,0,0,2,0,0,0
20,34,5,5,10,9,14,0,0,0,3,0,0,0
20,37,0,0,0,0,42,0,0,0,0,0,0,0
20,37,5,30,0,0,20,0,5,0,0,0,0,0
20,38,5,29,0,0,20,0,0,0,0,0,0,0
20,38,7,0,0,0,5,0,0,0,0,0,14,0
20,39,0,13,0,3,42,0,0,0,0,0,0,0
20,39,7,10,21,2,9,0,0,0,0,0,0,0
20,4,1,0,68,0,0,0,0,0,0,0,0,0
20,40,4,24,0,0,26,0,0,0,0,0,0,0
20,40,4,33,0,0,22,0,0,0,0,0,0,0
20,41,5,5,10,4,13,0,0,0,2,0,1,0
20,41,7,28,0,0,19,0,0,0,0,0,0,0
20,42,10,29,0,0,19,0,0,0,0,0,0,0
20,42,9,25,0,0,17,0,0,0,0,0,0,0
20,43,2,13,0,0,18,0,0,0,0,0,0,7
20,43,3,19,0,0,21,0,0,0,0,0,0,0
20,43,8,2,38,0,3,0,0,0,0,0,0,0
20,43,8,7,2,0,9,0,0,0,0,0,0,0
20,44,10,13,0,20,8,0,0,0,0,0,0,0
20,44,8,25,0,19,4,0,0,0,0,0,0,0
20,45,8,0,0,0,0,0,7,0,0,0,0,0
20,45,9,15,0,3,14,0,0,0,0,0,0,5
20,46,13,13,0,0,0,0,0,1,0,0,0,3
20,46,7,16,0,1,15,0,0,2,0,0,5,0
20,46,8,21,0,0,16,0,0,0,0,0,0,0
20,47,11,17,0,3,17,0,0,0,0,0,0,0
20,47,2,17,0,0,18,0,0,0,0,0,0,0
20,47,3,17,4,0,19,0,0,2,0,0,0,0
20,47,5,13,0,0,11,0,0,0,0,0,0,0
20,47,8,17,0,5,17,0,0,0,0,0,1,0
20,47,9,0,28,0,5,0,6,0,0,0,0,0
20,48,10,1,0,0,1,0,22,0,0,0,0,0
20,48,12,14,0,0,19,0,0,0,0,0,0,0
20,48,2,9,9,2,21,0,0,0,0,0,2,0
20,48,3,16,0,0,17,0,0,0,0,0,0,0
20,48,7,2,39,0,3,0,0,0,0,0,0,0
20,49,10,17,0,4,15,0,0,0,0,0,0,0
20,49,3,19,0,0,7,0,0,0,0,0,0,0
20,49,4,6,0,0,2,0,0,0,0,0,0,5
20,49,6,13,0,4,10,0,0,5,0,0,0,6
20,49,9,16,0,4,15,0,0,0,0,0,2,0
20,50,10,15,0,3,12,0,5,0,0,0,0,0
20,50,3,16,0,0,17,0,0,0,0,0,0,0
20,50,4,15,0,0,16,0,0,0,0,0,0,0
20,50,5,17,0,0,18,0,0,0,0,0,0,0
20,51,11,0,7,0,0,0,20,0,0,0,0,0
20,51,11,0,7,0,0,20,0,0,0,0,0,0
20,51,12,0,7,0,0,0,20,0,0,0,0,0
20,51,12,0,7,0,0,20,0,0,0,0,0,0
20,51,3,19,0,0,7,0,0,0,0,0,0,0
20,51,5,9,9,1,10,0,0,4,0,0,0,0
20,51,7,10,0,2,13,0,0,6,0,0,0,3
20,51,7,12,0,0,8,0,1,8,0,0,0,4
20,51,7,12,0,1,13,0,0,0,0,0,0,0
20,51,7,17,0,3,18,0,0,0,0,0,0,0
20,51,9,16,2,0,13,0,0,0,0,0,0,0
20,52,10,2,7,0,3,21,0,0,0,0,0,0
20,52,17,12,0,0,0,0,0,1,0,0,0,0
20,52,2,9,9,2,20,0,0,0,0,0,0,3
20,52,4,2,0,0,4,0,0,25,0,0,0,0
20,52,5,12,0,2,18,0,0,4,0,0,0,0
20,52,5,15,3,0,16,0,0,0,0,0,0,2
20,52,6,18,0,0,10,0,0,0,0,0,0,0
20,52,6,8,6,0,23,0,0,0,0,0,0,0
20,52,9,14,0,2,15,0,0,0,0,0,0,0
20,53,10,0,0,0,24,0,0,0,0,0,0,0
20,53,12,0,23,0,1,0,0,0,0,0,0,0
20,53,2,12,8,0,14,1,0,0,0,0,0,2
20,53,4,15,0,1,16,0,0,2,0,0,0,2
20,53,5,14,0,2,12,0,0,2,0,0,2,0
20,53,5,15,0,3,15,0,0,0,0,0,1,0
20,53,5,7,0,6,10,0,0,0,0,0,2,0
20,53,6,12,0,0,18,0,0,0,0,0,0,0
20,53,6,13,4,0,7,0,0,10,0,0,0,0
20,53,7,10,4,5,9,0,0,0,0,0,0,10
