"ave_orton_cone_id","SiO2","Al2O3","B2O3","Li2O","K2O","Na2O","KNaO","MgO","CaO","SrO","BaO","ZnO","PbO","P2O5","Cr2O3","MnO","MnO2","FeO","Fe2O3","CoO","NiO","CuO","Cu2O","TiO2","ZrO2","SnO2"
34,51.89,9.43,0.00,0.00,1.50,3.20,4.69,14.39,18.18,0.00,0.00,0.00,0.00,1.30,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.05,0.00,0.00
34,53.72,8.47,0.00,0.00,0.93,3.01,3.94,14.06,15.28,0.00,0.00,0.00,0.00,4.51,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,53.52,11.49,0.00,0.00,1.62,5.90,7.52,5.13,10.69,11.46,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.00,0.07,0.00,0.00
33,68.00,6.45,1.13,0.00,1.80,1.01,2.81,6.03,14.94,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.24
34,61.15,9.58,0.00,0.00,1.33,1.50,2.83,4.29,21.90,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.12,0.00,0.00
34,40.61,3.28,0.00,0.00,0.03,0.01,0.04,14.18,8.99,27.30,0.00,5.50,0.00,0.02,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.04,0.00,0.00
32,66.74,4.01,8.28,0.00,0.10,3.96,4.06,9.32,7.45,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.04,0.00,0.00
34,72.50,8.44,0.00,0.00,4.71,1.85,6.55,0.10,9.33,0.00,0.90,2.19,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,56.38,11.55,0.00,0.00,1.71,1.94,3.65,0.17,27.96,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.14,0.00,0.00
34,62.95,6.56,4.22,0.00,0.32,2.99,3.31,7.45,10.37,0.00,0.00,0.00,0.00,1.74,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.07,0.00,0.00
32,60.78,7.41,2.38,0.00,0.68,2.37,3.04,8.84,11.84,0.00,0.00,0.00,0.00,1.87,0.00,0.00,0.00,0.00,3.76,0.00,0.00,0.00,0.00,0.07,0.00,0.00
34,64.78,13.62,0.50,1.60,2.30,7.37,9.67,0.31,7.56,0.00,0.00,0.00,0.00,0.96,0.00,0.00,0.00,0.00,0.08,0.00,0.00,0.83,0.00,0.08,0.00,0.00
34,67.54,7.26,0.00,0.00,3.54,1.61,5.16,0.07,10.79,0.00,0.84,0.00,0.00,0.00,0.56,0.00,1.62,0.00,2.02,4.06,0.00,0.00,0.00,0.10,0.00,0.00
33,73.66,5.96,0.00,0.00,3.02,1.38,4.39,4.49,5.99,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.52,0.00,0.00,0.00,0.00,2.99,0.00,0.00
34,71.30,9.62,0.00,0.00,0.02,8.34,8.36,1.81,5.69,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.58,1.64,0.00,0.00,0.00,0.02,0.00,0.00
34,62.95,9.10,0.00,0.00,2.10,2.29,4.39,8.78,4.94,0.00,3.61,0.00,0.00,0.00,0.47,0.00,1.43,0.00,3.22,0.89,0.00,0.00,0.00,0.23,0.00,0.00
34,74.70,8.62,0.00,0.00,1.86,1.44,3.30,1.35,0.47,0.00,0.00,0.00,0.00,0.00,0.00,3.29,0.00,0.00,6.27,1.42,0.00,0.00,0.00,0.58,0.00,0.00
34,69.49,9.93,0.00,0.00,5.05,2.26,7.32,3.45,6.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.91,0.00,0.00,0.00,0.00,0.11,0.84,0.00
34,70.14,9.91,0.00,0.00,4.77,2.24,7.01,3.45,6.64,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.92,0.00,0.00,0.00,0.00,0.13,0.81,0.00
34,67.29,6.50,0.00,0.00,2.11,2.17,4.29,12.08,7.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.59,0.00,0.08,0.00,0.00,0.00,0.00,0.08,0.00,0.00
33,66.20,9.85,0.00,0.00,2.55,2.97,5.52,3.17,11.76,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.62,1.31,0.00,1.26,0.00,0.00,0.00,0.00
34,64.44,9.93,0.00,0.00,0.05,5.42,5.47,7.36,7.35,0.00,0.00,0.00,0.00,0.02,1.55,0.00,2.35,0.00,1.47,0.00,0.00,0.00,0.00,0.06,0.00,0.00
34,67.03,10.89,0.00,0.00,2.52,2.57,5.08,3.90,6.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.88,4.82,0.00,0.00,0.00,0.29,0.00,0.00
33,63.70,11.37,0.00,0.00,1.39,1.57,2.97,5.83,13.66,0.00,0.00,0.00,0.00,0.03,0.46,0.00,0.00,0.00,0.69,1.17,0.00,0.00,0.00,0.13,0.00,0.00
34,64.96,10.16,0.00,0.00,0.05,5.18,5.22,2.58,9.66,0.00,0.00,0.00,0.00,0.00,0.93,0.00,1.93,0.00,3.85,0.65,0.00,0.00,0.00,0.06,0.00,0.00
34,69.46,6.11,0.00,0.00,3.63,1.60,5.23,0.12,10.42,0.00,0.79,0.00,0.00,0.00,0.52,0.31,1.57,0.00,2.48,2.93,0.00,0.00,0.00,0.06,0.00,0.00
33,57.38,11.15,0.00,0.00,3.46,1.51,4.97,0.08,13.11,0.00,0.00,4.02,0.00,0.03,0.00,0.00,1.96,0.00,3.33,0.82,0.00,0.00,0.00,2.29,0.00,0.87
34,61.54,7.47,0.00,0.00,5.27,1.69,6.95,0.00,9.08,0.00,0.00,10.29,0.00,0.00,1.84,0.00,0.00,0.00,1.66,1.17,0.00,0.00,0.00,0.00,0.00,0.00
31,62.76,10.03,5.23,0.00,5.62,2.56,8.18,0.01,7.47,0.00,0.00,0.00,0.00,0.01,0.00,0.00,2.81,0.00,0.05,1.18,0.00,2.27,0.00,0.02,0.00,0.00
34,66.17,8.97,0.00,0.00,2.36,2.43,4.78,9.76,0.35,4.70,0.00,0.00,0.00,0.06,0.46,0.00,1.39,0.00,1.69,1.17,0.00,0.00,0.00,0.52,0.00,0.00
34,65.37,6.18,0.00,0.00,2.08,2.09,4.17,11.89,7.01,0.00,0.00,0.00,0.00,0.00,0.42,0.00,1.28,0.00,1.20,2.40,0.00,0.00,0.00,0.08,0.00,0.00
33,71.85,8.56,0.00,0.00,3.86,1.85,5.70,0.12,8.80,0.83,0.00,2.00,0.00,0.01,0.00,0.00,0.00,0.00,2.11,0.00,0.00,0.00,0.00,0.03,0.00,0.00
33,70.49,9.81,0.00,0.00,2.24,4.91,7.15,1.89,7.02,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,1.99,1.64,0.00,0.00,0.00,0.02,0.00,0.00
34,68.37,6.59,1.62,0.00,3.33,2.34,5.68,0.04,9.76,0.00,0.00,1.80,0.00,0.00,0.48,0.00,0.00,0.00,1.37,4.21,0.00,0.00,0.00,0.07,0.00,0.00
34,68.22,11.53,0.00,0.00,2.64,3.45,6.08,3.57,5.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.72,2.94,0.00,0.00,0.00,0.26,0.00,0.00
34,69.50,9.56,0.00,0.00,2.42,3.07,5.49,4.46,6.07,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,1.37,2.92,0.00,0.00,0.00,0.59,0.00,0.00
33,63.90,11.51,0.00,0.00,2.76,4.17,6.93,5.46,6.07,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,1.59,4.29,0.00,0.00,0.00,0.21,0.00,0.00
34,71.32,8.84,0.00,0.00,4.06,0.01,4.08,0.03,10.57,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,2.41,0.00,0.00,2.66,0.00,0.06,0.00,0.00
33,69.57,8.82,0.00,0.00,7.03,0.00,7.03,0.00,10.54,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,65.08,6.37,0.00,0.00,2.09,2.08,4.17,11.93,7.02,0.00,0.00,0.00,0.00,0.00,0.42,0.00,1.29,0.00,1.20,2.40,0.00,0.00,0.00,0.10,0.00,0.00
34,63.29,9.15,0.00,0.00,2.11,2.30,4.41,8.83,4.96,0.00,3.63,0.00,0.00,0.00,0.47,0.00,1.43,0.00,2.38,1.21,0.00,0.00,0.00,0.23,0.00,0.00
33,63.84,6.68,0.00,0.00,1.75,1.84,3.59,9.47,7.29,0.00,3.56,0.00,0.00,0.04,0.46,0.00,1.40,0.00,2.08,1.18,0.00,0.00,0.00,0.38,0.00,0.00
34,58.81,13.89,0.00,0.00,3.99,1.87,5.86,6.76,9.00,0.00,0.00,0.00,0.00,0.04,0.47,0.00,1.43,0.00,1.85,1.80,0.00,0.00,0.00,0.10,0.00,0.00
33,63.05,4.56,0.00,0.00,8.52,1.61,10.13,7.26,7.17,0.00,0.00,0.00,0.00,2.11,0.00,0.67,0.00,0.00,0.12,0.00,0.00,0.00,0.00,0.08,4.84,0.00
33,54.87,12.67,2.70,2.78,2.89,1.31,4.19,0.04,20.53,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.07,2.02,0.00
33,61.80,9.46,0.00,1.62,4.44,2.03,6.47,0.03,11.55,0.00,0.00,4.63,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.05,4.34,0.00
33,73.27,7.50,0.00,0.00,2.39,1.05,3.44,0.17,14.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,1.21,0.00,0.00,0.00,0.22,0.00,0.00
34,55.66,12.34,0.00,0.00,1.97,1.85,3.81,5.03,21.32,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,1.52,0.00,0.00,0.00,0.00,0.25,0.00,0.00
33,64.12,10.41,0.00,0.00,3.17,1.44,4.61,0.04,12.42,2.59,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.30,1.54,0.00,0.00,0.00,3.94,0.00,0.00
33,63.92,10.42,0.00,0.00,2.98,1.35,4.32,6.73,11.23,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.23,0.61,0.00,0.00,0.00,2.52,0.00,0.00
34,64.68,11.87,0.00,0.00,1.60,2.86,4.47,7.33,11.26,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.07,0.29,0.00,0.00,0.00,0.04,0.00,0.00
33,67.07,6.13,2.30,0.00,3.35,1.93,5.27,3.91,7.54,1.51,0.00,1.45,0.00,0.01,0.00,0.00,0.00,0.00,0.25,0.00,0.00,0.27,0.00,3.12,0.00,1.18
33,75.00,7.54,0.00,0.00,4.02,1.80,5.82,0.03,5.41,0.00,5.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.92,0.00,0.00,0.00,0.00,0.00,0.00,0.00
33,73.76,6.94,0.00,0.00,6.94,0.00,6.94,0.00,10.64,0.00,0.96,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,66.52,6.01,2.31,0.00,3.35,1.90,5.24,3.88,5.76,1.52,0.00,1.46,0.00,0.01,0.00,0.00,0.00,0.00,0.34,0.00,0.00,0.80,0.00,4.98,0.00,1.18
34,71.91,8.62,0.00,0.00,1.56,3.41,4.96,0.04,13.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.42,0.59,0.00,0.00,0.00,0.00,0.00,0.00
33,72.16,7.85,0.00,0.00,2.00,3.70,5.70,0.10,10.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04,1.39,0.00,2.14,0.00,0.05,0.00,0.00
33,67.32,7.27,0.00,0.00,3.49,1.52,5.02,0.05,8.85,5.69,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,2.06,0.00,0.00,0.23,0.00,3.50,0.00,0.00
32,63.77,6.66,4.54,0.00,2.52,1.89,4.40,10.53,6.54,0.00,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.12,1.74,0.00,0.00,0.00,0.17,1.53,0.00
33,62.49,10.81,0.00,0.00,3.39,1.47,4.87,0.08,15.56,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.37,0.65,0.00,0.00,0.00,5.16,0.00,0.00
33,72.10,7.91,0.00,0.00,3.27,1.58,4.84,1.48,12.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00
34,69.56,7.57,0.00,0.00,2.13,1.01,3.13,0.14,18.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.23,0.00,0.00,0.00,0.23,0.00,0.00
34,67.07,7.51,0.00,0.00,4.69,0.07,4.76,0.07,13.02,0.00,1.66,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.23,1.09,0.00,0.89,0.00,3.70,0.00,0.00
13,49.43,4.62,0.00,7.34,0.00,7.85,7.85,0.00,4.30,0.00,0.00,0.00,0.00,1.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.01,0.00,0.00,0.00,0.00
33,61.97,12.21,0.00,0.00,4.94,2.25,7.19,0.03,14.44,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.27,0.55,0.00,0.00,0.00,3.33,0.00,0.00
33,60.02,12.00,0.00,0.00,7.65,0.08,7.73,0.16,19.27,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.46,0.00,0.00,0.00,0.25,0.00,0.00
33,60.94,13.62,0.00,2.23,2.43,7.84,10.27,0.22,0.66,10.38,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.00,0.09,0.00,0.00,1.55,0.00,0.03,0.00,0.00
33,72.73,7.24,0.00,0.00,2.40,1.10,3.50,1.97,13.12,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.33,0.29,0.00,0.00,0.00,0.81,0.00,0.00
34,50.53,7.44,0.00,0.00,3.71,1.69,5.40,0.01,0.20,0.00,18.09,16.46,0.00,0.01,0.00,0.00,0.00,0.00,0.04,0.00,1.79,0.00,0.00,0.02,0.00,0.00
34,67.11,7.01,0.00,0.00,1.16,3.77,4.94,6.29,8.60,0.00,0.00,2.06,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,3.77,0.00,0.00
