id,name,material_type_concatenated,surface_type,transparency_type,from_orton_cone,to_orton_cone,SiO2_percent_mol,Al2O3_percent_mol,B2O3_percent_mol,Li2O_percent_mol,K2O_percent_mol,Na2O_percent_mol,KNaO_percent_mol,BeO_percent_mol,MgO_percent_mol,CaO_percent_mol,SrO_percent_mol,BaO_percent_mol,ZnO_percent_mol,PbO_percent_mol,P2O5_percent_mol,F_percent_mol,V2O5_percent_mol,Cr2O3_percent_mol,MnO_percent_mol,MnO2_percent_mol,FeO_percent_mol,Fe2O3_percent_mol,CoO_percent_mol,NiO_percent_mol,CuO_percent_mol,Cu2O_percent_mol,CdO_percent_mol,TiO2_percent_mol,ZrO_percent_mol,ZrO2_percent_mol,SnO2_percent_mol
51301,Rosa Criolla,"Iron - Kaki, Tomato Red",,,6,6,52.7204,14.094,0,9.8962,2.0287,6.6208,8.6495,0,0.0348,8.0006,0,0,0,0,2.392,0,0,0,0,0,0,4.1629,0,0,0,0,0,0.0496,0,0,0
51329,fake nuka #2,Clear,Glossy,Translucent,6,6,68.334,7.2426,3.7483,0,2.914,5.4342,8.3483,0,2.2629,7.9162,0.0282,0,0,0,0.9344,0,0,0,0,0,0,0.5395,0,0,0,0,0,0,0,0,0.6458
51332,Autumn's Crystal Matte w/ Custer Feldspar,Matte - Magnesium Matte,,,,,62.3262,5.076,2.2026,0,2.5142,2.2218,4.736,0,12.0871,10.7287,0,0,2.7199,0,0.0059,0,0,0,0,0,0,0.0815,0,0,0,0,0,0.036,0,0,0
51382,Cobalt Black Variation - Fiske Oilspot,Iron - Oil Spot,Satin - Matte,Opaque,8,12,69.6743,8.4117,0,0,3.4983,2.9844,6.4827,0,1.7543,5.5285,0,0,0,0,0.0058,0,0,0,0,3.1749,0,3.4186,1.0558,0,0.4783,0,0,0.0151,0,0,0
51480,Rebecca's Clear,Clear,,Transparent,6,6,70.1506,7.4079,5.5831,0,1.0992,4.2199,5.3191,0,1.3284,10.0548,0,0,0,0,0.0228,0,0,0,0,0,0,0.0821,0,0,0,0,0,0.0511,0,0,0
51481,Fat Cream,"White, Off-White",,Opaque,5,6,66.5395,8.1477,6.3398,0,1.6441,5.7824,7.4265,0,1.5526,6.0786,0,0,0,0,0.0116,0,0,0,0,0,0,0.1335,0,0,0,0,0,0.895,0,2.8751,0
51490,base 640,Glaze,Glossy,Transparent,8,10,72.2001,6.9652,0,0,1.2459,4.4183,5.6642,0,0.087,13.3733,0,0,1.709,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0
51491,Orange Red Spodumene,"Iron - Kaki, Tomato Red",,,5,7,59.2396,6.6496,0,3.5921,5.4249,0.0605,5.4855,0,9.0823,9.2253,0,0,0,0,2.7609,0,0,0,0,0,0,3.9648,0,0,0,0,0,0,0,0,0
51495,floating green-blue,Glaze,Glossy - Semi,Opaque,8,10,70.3691,7.3802,0,0,1.3178,4.6731,5.9908,0,0.0676,10.6608,0,0,0,0,0,0,0,0,0,0,0,0.0174,0,0,1.6319,0,0,3.8642,0,0.0179,0
51496,ecru surprise,Glaze,Glossy - Semi,Opaque,8,10,69.2671,7.266,0,0,1.2957,4.5949,5.8906,0,0.0665,10.4824,0,0,0,0,0,0,0,0,0,0.8931,0,0.0269,0,0,0,0,0,6.0792,0,0.0282,0
